date,district,cases
2020-07-15,Bahawalpur,88
2020-07-16,Bahawalpur,93
2020-07-17,Bahawalpur,85
2020-07-18,Bahawalpur,74
2020-07-19,Bahawalpur,99
2020-07-20,Bahawalpur,58
2020-07-21,Bahawalpur,61
2020-07-22,Bahawalpur,74
2020-07-23,Bahawalpur,70
2020-07-24,Bahawalpur,54
2020-07-25,Bahawalpur,63
2020-07-26,Bahawalpur,74
2020-07-27,Bahawalpur,67
2020-07-28,Bahawalpur,94
2020-07-29,Bahawalpur,76
2020-07-30,Bahawalpur,78
2020-07-31,Bahawalpur,92
2020-08-01,Bahawalpur,127
2020-08-02,Bahawalpur,113
2020-08-03,Bahawalpur,116
2020-08-04,Bahawalpur,115
2020-08-05,Bahawalpur,111
2020-08-06,Bahawalpur,108
2020-08-07,Bahawalpur,106
2020-08-08,Bahawalpur,121
2020-08-09,Bahawalpur,101
2020-08-10,Bahawalpur,158
2020-08-11,Bahawalpur,95
2020-08-12,Bahawalpur,140
2020-08-13,Bahawalpur,103
2020-08-14,Bahawalpur,110
2020-08-15,Bahawalpur,150
2020-08-16,Bahawalpur,140
2020-08-17,Bahawalpur,116
2020-08-18,Bahawalpur,108
2020-08-19,Bahawalpur,98
2020-08-20,Bahawalpur,105
2020-08-21,Bahawalpur,129
2020-08-22,Bahawalpur,105
2020-08-23,Bahawalpur,116
2020-08-24,Bahawalpur,106
2020-08-25,Bahawalpur,122
2020-08-26,Bahawalpur,102
2020-08-27,Bahawalpur,101
2020-08-28,Bahawalpur,143
2020-08-29,Bahawalpur,111
2020-08-30,Bahawalpur,110
2020-08-31,Bahawalpur,127
2020-09-01,Bahawalpur,118
2020-09-02,Bahawalpur,106
2020-09-03,Bahawalpur,120
2020-09-04,Bahawalpur,100
2020-09-05,Bahawalpur,133
2020-09-06,Bahawalpur,106
2020-09-07,Bahawalpur,114
2020-09-08,Bahawalpur,129
2020-09-09,Bahawalpur,143
2020-09-10,Bahawalpur,121
2020-09-11,Bahawalpur,100
2020-09-12,Bahawalpur,113
2020-09-13,Bahawalpur,131
2020-09-14,Bahawalpur,110
2020-09-15,Bahawalpur,151
2020-09-16,Bahawalpur,115
2020-09-17,Bahawalpur,129
2020-09-18,Bahawalpur,93
2020-09-19,Bahawalpur,117
2020-09-20,Bahawalpur,100
2020-09-21,Bahawalpur,89
2020-09-22,Bahawalpur,129
2020-09-23,Bahawalpur,102
2020-09-24,Bahawalpur,155
2020-09-25,Bahawalpur,128
2020-09-26,Bahawalpur,106
2020-09-27,Bahawalpur,146
2020-09-28,Bahawalpur,125
2020-09-29,Bahawalpur,130
2020-09-30,Bahawalpur,139
2020-10-01,Bahawalpur,117
2020-10-02,Bahawalpur,78
2020-10-03,Bahawalpur,108
2020-10-04,Bahawalpur,122
2020-10-05,Bahawalpur,77
2020-10-06,Bahawalpur,104
2020-10-07,Bahawalpur,109
2020-10-08,Bahawalpur,98
2020-10-09,Bahawalpur,102
2020-10-10,Bahawalpur,96
2020-10-11,Bahawalpur,99
2020-10-12,Bahawalpur,111
2020-10-13,Bahawalpur,97
2020-10-14,Bahawalpur,115
2020-10-15,Bahawalpur,87
2020-10-16,Bahawalpur,147
2020-10-17,Bahawalpur,107
2020-10-18,Bahawalpur,105
2020-10-19,Bahawalpur,127
2020-10-20,Bahawalpur,124
2020-10-21,Bahawalpur,102
2020-10-22,Bahawalpur,140
2020-10-23,Bahawalpur,107
2020-10-24,Bahawalpur,123
2020-10-25,Bahawalpur,127
2020-10-26,Bahawalpur,127
2020-10-27,Bahawalpur,100
2020-10-28,Bahawalpur,122
2020-10-29,Bahawalpur,110
2020-10-30,Bahawalpur,167
2020-10-31,Bahawalpur,122
2020-11-01,Bahawalpur,56
2020-11-02,Bahawalpur,71
2020-11-03,Bahawalpur,81
2020-11-04,Bahawalpur,64
2020-11-05,Bahawalpur,73
2020-11-06,Bahawalpur,66
2020-11-07,Bahawalpur,74
2020-11-08,Bahawalpur,59
2020-11-09,Bahawalpur,72
2020-11-10,Bahawalpur,81
2020-11-11,Bahawalpur,67
2020-11-12,Bahawalpur,62
2020-11-13,Bahawalpur,87
2020-11-14,Bahawalpur,62
2020-11-15,Bahawalpur,63
2020-11-16,Bahawalpur,67
2020-11-17,Bahawalpur,75
2020-11-18,Bahawalpur,86
2020-11-19,Bahawalpur,97
2020-11-20,Bahawalpur,72
2020-11-21,Bahawalpur,63
2020-11-22,Bahawalpur,65
2020-11-23,Bahawalpur,87
2020-11-24,Bahawalpur,52
2020-11-25,Bahawalpur,61
2020-11-26,Bahawalpur,72
2020-11-27,Bahawalpur,84
2020-11-28,Bahawalpur,72
2020-11-29,Bahawalpur,75
2020-11-30,Bahawalpur,66
2020-12-01,Bahawalpur,42
2020-12-02,Bahawalpur,54
2020-12-03,Bahawalpur,44
2020-12-04,Bahawalpur,47
2020-12-05,Bahawalpur,56
2020-12-06,Bahawalpur,35
2020-12-07,Bahawalpur,45
2020-12-08,Bahawalpur,41
2020-12-09,Bahawalpur,42
2020-12-10,Bahawalpur,48
2020-12-11,Bahawalpur,41
2020-12-12,Bahawalpur,32
2020-12-13,Bahawalpur,32
2020-12-14,Bahawalpur,46
2020-12-15,Bahawalpur,35
2020-12-16,Bahawalpur,35
2020-12-17,Bahawalpur,28
2020-12-18,Bahawalpur,45
2020-12-19,Bahawalpur,45
2020-12-20,Bahawalpur,35
2020-12-21,Bahawalpur,43
2020-12-22,Bahawalpur,29
2020-12-23,Bahawalpur,25
2020-12-24,Bahawalpur,26
2020-12-25,Bahawalpur,52
2020-12-26,Bahawalpur,33
2020-12-27,Bahawalpur,26
2020-12-28,Bahawalpur,34
2020-12-29,Bahawalpur,34
2020-12-30,Bahawalpur,30
2020-12-31,Bahawalpur,38
2021-01-01,Bahawalpur,27
2021-01-02,Bahawalpur,37
2021-01-03,Bahawalpur,41
2021-01-04,Bahawalpur,41
2021-01-05,Bahawalpur,40
2021-01-06,Bahawalpur,32
2021-01-07,Bahawalpur,41
2021-01-08,Bahawalpur,21
2021-01-09,Bahawalpur,27
2021-01-10,Bahawalpur,32
2021-01-11,Bahawalpur,32
2021-01-12,Bahawalpur,29
2021-01-13,Bahawalpur,42
2021-01-14,Bahawalpur,31
2021-01-15,Bahawalpur,37
2021-01-16,Bahawalpur,34
2021-01-17,Bahawalpur,39
2021-01-18,Bahawalpur,33
2021-01-19,Bahawalpur,35
2021-01-20,Bahawalpur,32
2021-01-21,Bahawalpur,27
2021-01-22,Bahawalpur,26
2021-01-23,Bahawalpur,29
2021-01-24,Bahawalpur,32
2021-01-25,Bahawalpur,29
2021-01-26,Bahawalpur,27
2021-01-27,Bahawalpur,29
2021-01-28,Bahawalpur,28
2021-01-29,Bahawalpur,27
2021-01-30,Bahawalpur,33
2021-01-31,Bahawalpur,34
2021-02-01,Bahawalpur,35
2021-02-02,Bahawalpur,37
2021-02-03,Bahawalpur,40
2021-02-04,Bahawalpur,27
2021-02-05,Bahawalpur,29
2021-02-06,Bahawalpur,41
2021-02-07,Bahawalpur,13
2021-02-08,Bahawalpur,20
2021-02-09,Bahawalpur,28
2021-02-10,Bahawalpur,33
2021-02-11,Bahawalpur,32
2021-02-12,Bahawalpur,22
2021-02-13,Bahawalpur,32
2021-02-14,Bahawalpur,28
2021-02-15,Bahawalpur,24
2021-02-16,Bahawalpur,16
2021-02-17,Bahawalpur,21
2021-02-18,Bahawalpur,24
2021-02-19,Bahawalpur,28
2021-02-20,Bahawalpur,30
2021-02-21,Bahawalpur,24
2021-02-22,Bahawalpur,25
2021-02-23,Bahawalpur,19
2021-02-24,Bahawalpur,35
2021-02-25,Bahawalpur,17
2021-02-26,Bahawalpur,29
2021-02-27,Bahawalpur,36
2021-02-28,Bahawalpur,26
2021-03-01,Bahawalpur,22
2021-03-02,Bahawalpur,28
2021-03-03,Bahawalpur,28
2021-03-04,Bahawalpur,28
2021-03-05,Bahawalpur,32
2021-03-06,Bahawalpur,27
2021-03-07,Bahawalpur,16
2021-03-08,Bahawalpur,31
2021-03-09,Bahawalpur,19
2021-03-10,Bahawalpur,20
2021-03-11,Bahawalpur,31
2021-03-12,Bahawalpur,29
2021-03-13,Bahawalpur,24
2021-03-14,Bahawalpur,35
2021-03-15,Bahawalpur,31
2021-03-16,Bahawalpur,25
2021-03-17,Bahawalpur,19
2021-03-18,Bahawalpur,26
2021-03-19,Bahawalpur,29
2021-03-20,Bahawalpur,24
2021-03-21,Bahawalpur,30
2021-03-22,Bahawalpur,28
2021-03-23,Bahawalpur,24
2021-03-24,Bahawalpur,25
2021-03-25,Bahawalpur,33
2021-03-26,Bahawalpur,25
2021-03-27,Bahawalpur,35
2021-03-28,Bahawalpur,32
2021-03-29,Bahawalpur,31
2021-03-30,Bahawalpur,29
2021-03-31,Bahawalpur,26
2021-04-01,Bahawalpur,65
2021-04-02,Bahawalpur,43
2021-04-03,Bahawalpur,56
2021-04-04,Bahawalpur,59
2021-04-05,Bahawalpur,49
2021-04-06,Bahawalpur,54
2021-04-07,Bahawalpur,47
2021-04-08,Bahawalpur,54
2021-04-09,Bahawalpur,64
2021-04-10,Bahawalpur,60
2021-04-11,Bahawalpur,57
2021-04-12,Bahawalpur,78
2021-04-13,Bahawalpur,55
2021-04-14,Bahawalpur,51
2021-04-15,Bahawalpur,56
2021-04-16,Bahawalpur,52
2021-04-17,Bahawalpur,54
2021-04-18,Bahawalpur,65
2021-04-19,Bahawalpur,55
2021-04-20,Bahawalpur,59
2021-04-21,Bahawalpur,62
2021-04-22,Bahawalpur,67
2021-04-23,Bahawalpur,50
2021-04-24,Bahawalpur,36
2021-04-25,Bahawalpur,50
2021-04-26,Bahawalpur,62
2021-04-27,Bahawalpur,48
2021-04-28,Bahawalpur,52
2021-04-29,Bahawalpur,80
2021-04-30,Bahawalpur,44
2021-05-01,Bahawalpur,62
2021-05-02,Bahawalpur,61
2021-05-03,Bahawalpur,59
2021-05-04,Bahawalpur,60
2021-05-05,Bahawalpur,50
2021-05-06,Bahawalpur,60
2021-05-07,Bahawalpur,63
2021-05-08,Bahawalpur,57
2021-05-09,Bahawalpur,71
2021-05-10,Bahawalpur,59
2021-05-11,Bahawalpur,70
2021-05-12,Bahawalpur,71
2021-05-13,Bahawalpur,59
2021-05-14,Bahawalpur,60
2021-05-15,Bahawalpur,64
2021-05-16,Bahawalpur,47
2021-05-17,Bahawalpur,69
2021-05-18,Bahawalpur,68
2021-05-19,Bahawalpur,60
2021-05-20,Bahawalpur,74
2021-05-21,Bahawalpur,65
2021-05-22,Bahawalpur,66
2021-05-23,Bahawalpur,76
2021-05-24,Bahawalpur,77
2021-05-25,Bahawalpur,76
2021-05-26,Bahawalpur,70
2021-05-27,Bahawalpur,85
2021-05-28,Bahawalpur,73
2021-05-29,Bahawalpur,43
2021-05-30,Bahawalpur,67
2021-05-31,Bahawalpur,78
2021-06-01,Bahawalpur,54
2021-06-02,Bahawalpur,58
2021-06-03,Bahawalpur,43
2021-06-04,Bahawalpur,40
2021-06-05,Bahawalpur,47
2021-06-06,Bahawalpur,54
2021-06-07,Bahawalpur,55
2021-06-08,Bahawalpur,71
2021-06-09,Bahawalpur,45
2021-06-10,Bahawalpur,57
2021-06-11,Bahawalpur,49
2021-06-12,Bahawalpur,44
2021-06-13,Bahawalpur,50
2021-06-14,Bahawalpur,50
2021-06-15,Bahawalpur,68
2021-06-16,Bahawalpur,49
2021-06-17,Bahawalpur,61
2021-06-18,Bahawalpur,53
2021-06-19,Bahawalpur,54
2021-06-20,Bahawalpur,65
2021-06-21,Bahawalpur,75
2021-06-22,Bahawalpur,70
2021-06-23,Bahawalpur,59
2021-06-24,Bahawalpur,67
2021-06-25,Bahawalpur,60
2021-06-26,Bahawalpur,62
2021-06-27,Bahawalpur,70
2021-06-29,Bahawalpur,55
2021-06-30,Bahawalpur,54
2021-07-01,Bahawalpur,63
2021-07-02,Bahawalpur,95
2021-07-03,Bahawalpur,75
2021-07-04,Bahawalpur,82
2021-07-05,Bahawalpur,91
2021-07-06,Bahawalpur,80
2021-07-07,Bahawalpur,77
2021-07-08,Bahawalpur,83
2021-07-09,Bahawalpur,95
2021-07-10,Bahawalpur,66
2021-07-11,Bahawalpur,93
2021-07-12,Bahawalpur,90
2021-07-13,Bahawalpur,68
2021-07-14,Bahawalpur,84
2021-07-15,Bahawalpur,90
2021-07-16,Bahawalpur,77
2021-07-17,Bahawalpur,72
2021-07-18,Bahawalpur,76
2021-07-19,Bahawalpur,67
2021-07-20,Bahawalpur,82
2021-07-21,Bahawalpur,88
2021-07-22,Bahawalpur,83
2021-07-23,Bahawalpur,78
2021-07-24,Bahawalpur,60
2021-07-25,Bahawalpur,74
2021-07-26,Bahawalpur,69
2021-07-27,Bahawalpur,53
2021-07-28,Bahawalpur,56
2021-07-29,Bahawalpur,70
2021-07-30,Bahawalpur,80
2021-07-31,Bahawalpur,106
2021-08-01,Bahawalpur,123
2021-08-02,Bahawalpur,118
2021-08-03,Bahawalpur,162
2021-08-04,Bahawalpur,143
2021-08-05,Bahawalpur,113
2021-08-06,Bahawalpur,86
2021-08-07,Bahawalpur,104
2021-08-08,Bahawalpur,105
2021-08-09,Bahawalpur,135
2021-08-10,Bahawalpur,110
2021-08-11,Bahawalpur,104
2021-08-12,Bahawalpur,93
2021-08-13,Bahawalpur,111
2021-08-14,Bahawalpur,150
2021-08-15,Bahawalpur,119
2021-08-16,Bahawalpur,118
2021-08-17,Bahawalpur,108
2021-08-18,Bahawalpur,122
2021-08-19,Bahawalpur,133
2021-08-20,Bahawalpur,85
2021-08-21,Bahawalpur,109
2021-08-22,Bahawalpur,99
2021-08-23,Bahawalpur,113
2021-08-24,Bahawalpur,95
2021-08-25,Bahawalpur,106
2021-08-26,Bahawalpur,123
2021-08-27,Bahawalpur,131
2021-08-28,Bahawalpur,100
2021-08-29,Bahawalpur,112
2021-08-30,Bahawalpur,103
2021-08-31,Bahawalpur,116
2021-09-01,Bahawalpur,116
2021-09-02,Bahawalpur,107
2021-09-03,Bahawalpur,100
2021-09-04,Bahawalpur,108
2021-09-05,Bahawalpur,150
2021-09-06,Bahawalpur,100
2021-09-07,Bahawalpur,101
2021-09-08,Bahawalpur,138
2021-09-09,Bahawalpur,95
2021-09-10,Bahawalpur,90
2021-09-11,Bahawalpur,108
2021-09-12,Bahawalpur,144
2021-09-13,Bahawalpur,123
2021-09-14,Bahawalpur,136
2021-09-15,Bahawalpur,136
2021-09-16,Bahawalpur,137
2021-09-17,Bahawalpur,96
2021-09-18,Bahawalpur,123
2021-09-19,Bahawalpur,119
2021-09-20,Bahawalpur,101
2021-09-21,Bahawalpur,100
2021-09-22,Bahawalpur,113
2021-09-23,Bahawalpur,113
2021-09-24,Bahawalpur,112
2021-09-25,Bahawalpur,108
2021-09-26,Bahawalpur,125
2021-09-27,Bahawalpur,114
2021-09-28,Bahawalpur,117
2021-09-29,Bahawalpur,123
2021-09-30,Bahawalpur,126
2021-10-01,Bahawalpur,92
2021-10-02,Bahawalpur,116
2021-10-03,Bahawalpur,74
2021-10-04,Bahawalpur,97
2021-10-05,Bahawalpur,110
2021-10-06,Bahawalpur,105
2021-10-07,Bahawalpur,137
2021-10-08,Bahawalpur,112
2021-10-09,Bahawalpur,106
2021-10-10,Bahawalpur,128
2021-10-11,Bahawalpur,112
2021-10-12,Bahawalpur,103
2021-10-13,Bahawalpur,124
2021-10-14,Bahawalpur,121
2021-10-15,Bahawalpur,111
2021-10-16,Bahawalpur,108
2021-10-17,Bahawalpur,93
2021-10-18,Bahawalpur,132
2021-10-19,Bahawalpur,116
2021-10-20,Bahawalpur,134
2021-10-21,Bahawalpur,99
2021-10-22,Bahawalpur,91
2021-10-23,Bahawalpur,114
2021-10-24,Bahawalpur,142
2021-10-25,Bahawalpur,132
2021-10-26,Bahawalpur,107
2021-10-27,Bahawalpur,114
2021-10-28,Bahawalpur,106
2021-10-29,Bahawalpur,102
2021-10-30,Bahawalpur,111
2021-10-31,Bahawalpur,118
2021-11-01,Bahawalpur,62
2021-11-02,Bahawalpur,63
2021-11-03,Bahawalpur,85
2021-11-04,Bahawalpur,63
2021-11-05,Bahawalpur,81
2021-11-06,Bahawalpur,85
2021-11-07,Bahawalpur,73
2021-11-08,Bahawalpur,82
2021-11-09,Bahawalpur,70
2021-11-10,Bahawalpur,88
2021-11-11,Bahawalpur,75
2021-11-12,Bahawalpur,72
2021-11-13,Bahawalpur,63
2021-11-14,Bahawalpur,69
2021-11-15,Bahawalpur,59
2021-11-16,Bahawalpur,74
2021-11-17,Bahawalpur,63
2021-11-18,Bahawalpur,71
2021-11-19,Bahawalpur,83
2021-11-20,Bahawalpur,86
2021-11-21,Bahawalpur,90
2021-11-22,Bahawalpur,69
2021-11-23,Bahawalpur,62
2021-11-24,Bahawalpur,94
2021-11-25,Bahawalpur,76
2021-11-26,Bahawalpur,70
2021-11-27,Bahawalpur,76
2021-11-28,Bahawalpur,65
2021-11-29,Bahawalpur,71
2021-11-30,Bahawalpur,63
2021-12-01,Bahawalpur,48
2021-12-02,Bahawalpur,55
2021-12-03,Bahawalpur,44
2021-12-04,Bahawalpur,41
2021-12-05,Bahawalpur,39
2021-12-06,Bahawalpur,39
2021-12-07,Bahawalpur,33
2021-12-08,Bahawalpur,33
2021-12-09,Bahawalpur,39
2021-12-10,Bahawalpur,42
2021-12-11,Bahawalpur,30
2021-12-12,Bahawalpur,26
2021-12-13,Bahawalpur,42
2021-12-14,Bahawalpur,44
2021-12-15,Bahawalpur,39
2021-12-16,Bahawalpur,45
2021-12-17,Bahawalpur,40
2021-12-18,Bahawalpur,44
2021-12-19,Bahawalpur,32
2021-12-20,Bahawalpur,56
2021-12-21,Bahawalpur,47
2021-12-22,Bahawalpur,29
2021-12-23,Bahawalpur,36
2021-12-24,Bahawalpur,29
2021-12-25,Bahawalpur,25
2021-12-26,Bahawalpur,27
2021-12-27,Bahawalpur,32
2021-12-28,Bahawalpur,42
2021-12-29,Bahawalpur,38
2021-12-30,Bahawalpur,35
2021-12-31,Bahawalpur,36
2022-01-01,Bahawalpur,43
2022-01-02,Bahawalpur,27
2022-01-03,Bahawalpur,42
2022-01-04,Bahawalpur,38
2022-01-05,Bahawalpur,38
2022-01-06,Bahawalpur,30
2022-01-07,Bahawalpur,34
2022-01-08,Bahawalpur,34
2022-01-09,Bahawalpur,33
2022-01-10,Bahawalpur,29
2022-01-11,Bahawalpur,28
2022-01-12,Bahawalpur,39
2022-01-13,Bahawalpur,42
2022-01-14,Bahawalpur,40
2022-01-15,Bahawalpur,42
2022-01-16,Bahawalpur,31
2022-01-17,Bahawalpur,30
2022-01-18,Bahawalpur,36
2022-01-19,Bahawalpur,39
2022-01-20,Bahawalpur,42
2022-01-21,Bahawalpur,21
2022-01-22,Bahawalpur,38
2022-01-23,Bahawalpur,26
2022-01-24,Bahawalpur,32
2022-01-25,Bahawalpur,20
2022-01-26,Bahawalpur,26
2022-01-27,Bahawalpur,25
2022-01-28,Bahawalpur,26
2022-01-29,Bahawalpur,40
2022-01-30,Bahawalpur,33
2022-01-31,Bahawalpur,43
2022-02-01,Bahawalpur,25
2022-02-02,Bahawalpur,28
2022-02-03,Bahawalpur,25
2022-02-04,Bahawalpur,30
2022-02-05,Bahawalpur,44
2022-02-06,Bahawalpur,33
2022-02-07,Bahawalpur,31
2022-02-08,Bahawalpur,31
2022-02-09,Bahawalpur,21
2022-02-10,Bahawalpur,28
2022-02-11,Bahawalpur,31
2022-02-13,Bahawalpur,41
2022-02-14,Bahawalpur,23
2022-02-15,Bahawalpur,25
2022-02-16,Bahawalpur,26
2022-02-17,Bahawalpur,38
2022-02-18,Bahawalpur,32
2022-02-19,Bahawalpur,31
2022-02-20,Bahawalpur,19
2022-02-21,Bahawalpur,19
2022-02-22,Bahawalpur,21
2022-02-23,Bahawalpur,36
2022-02-24,Bahawalpur,21
2022-02-25,Bahawalpur,28
2022-02-26,Bahawalpur,16
2022-02-27,Bahawalpur,30
2022-02-28,Bahawalpur,46
2022-03-01,Bahawalpur,25
2022-03-02,Bahawalpur,33
2022-03-03,Bahawalpur,24
2022-03-04,Bahawalpur,34
2022-03-05,Bahawalpur,28
2022-03-06,Bahawalpur,29
2022-03-07,Bahawalpur,22
2022-03-08,Bahawalpur,38
2022-03-09,Bahawalpur,24
2022-03-10,Bahawalpur,23
2022-03-11,Bahawalpur,30
2022-03-12,Bahawalpur,23
2022-03-13,Bahawalpur,26
2022-03-14,Bahawalpur,27
2022-03-15,Bahawalpur,39
2022-03-16,Bahawalpur,36
2022-03-17,Bahawalpur,34
2022-03-18,Bahawalpur,23
2022-03-19,Bahawalpur,24
2022-03-20,Bahawalpur,27
2022-03-21,Bahawalpur,28
2022-03-22,Bahawalpur,26
2022-03-23,Bahawalpur,21
2022-03-24,Bahawalpur,39
2022-03-25,Bahawalpur,18
2022-03-26,Bahawalpur,17
2022-03-27,Bahawalpur,38
2022-03-28,Bahawalpur,33
2022-03-29,Bahawalpur,30
2022-03-30,Bahawalpur,23
2022-03-31,Bahawalpur,34
2022-04-01,Bahawalpur,58
2022-04-02,Bahawalpur,47
2022-04-03,Bahawalpur,54
2022-04-04,Bahawalpur,49
2022-04-05,Bahawalpur,71
2022-04-06,Bahawalpur,62
2022-04-07,Bahawalpur,43
2022-04-08,Bahawalpur,65
2022-04-09,Bahawalpur,54
2022-04-10,Bahawalpur,45
2022-04-11,Bahawalpur,64
2022-04-12,Bahawalpur,48
2022-04-13,Bahawalpur,50
2022-04-14,Bahawalpur,56
2022-04-15,Bahawalpur,71
2022-04-16,Bahawalpur,62
2022-04-17,Bahawalpur,40
2022-04-18,Bahawalpur,55
2022-04-19,Bahawalpur,50
2022-04-20,Bahawalpur,47
2022-04-21,Bahawalpur,47
2022-04-22,Bahawalpur,54
2022-04-23,Bahawalpur,61
2022-04-24,Bahawalpur,59
2022-04-25,Bahawalpur,54
2022-04-26,Bahawalpur,51
2022-04-27,Bahawalpur,59
2022-04-28,Bahawalpur,62
2022-04-29,Bahawalpur,58
2022-04-30,Bahawalpur,62
2022-05-01,Bahawalpur,69
2022-05-02,Bahawalpur,58
2022-05-03,Bahawalpur,62
2022-05-04,Bahawalpur,83
2022-05-05,Bahawalpur,61
2022-05-06,Bahawalpur,49
2022-05-07,Bahawalpur,50
2022-05-08,Bahawalpur,60
2022-05-09,Bahawalpur,49
2022-05-10,Bahawalpur,54
2022-05-11,Bahawalpur,50
2022-05-12,Bahawalpur,80
2022-05-13,Bahawalpur,63
2022-05-14,Bahawalpur,63
2022-05-15,Bahawalpur,57
2022-05-16,Bahawalpur,57
2022-05-17,Bahawalpur,41
2022-05-18,Bahawalpur,76
2022-05-19,Bahawalpur,79
2022-05-20,Bahawalpur,60
2022-05-21,Bahawalpur,57
2022-05-22,Bahawalpur,75
2022-05-23,Bahawalpur,77
2022-05-24,Bahawalpur,51
2022-05-25,Bahawalpur,76
2022-05-26,Bahawalpur,78
2022-05-27,Bahawalpur,80
2022-05-28,Bahawalpur,72
2022-05-29,Bahawalpur,48
2022-05-30,Bahawalpur,61
2022-05-31,Bahawalpur,76
2022-06-01,Bahawalpur,57
2022-06-02,Bahawalpur,64
